group	16	26	30	60	90	120	150	170
FFT	-0.0	0.0	0.001	0.001	0.002	0.001	-0.024	-0.022
bubble_sort	0.001	-0.001	-0.001	0.001	0.0	0.002	0.0	0.003
dijkstra	-0.0	-0.0	-0.0	0.001	0.0	-0.001	0.001	0.0
kalman	0.007	0.009	0.008	0.009	0.046	0.047	0.05	0.05
mat_mul	-0.001	0.001	0.0	-0.0	0.0	0.0	0.002	0.0
pointer_chase	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.001	0.0
recursion	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.001	0.001
rsa_dec	0.0	-0.0	-0.0	-0.0	0.0	0.001	0.0	0.001
rsa_enc	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.001
sine	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.001	0.0
