group		16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT		68.95333374023437	64.3270108795166	63.39915641784668	55.88521545410156	54.602733764648434	54.01377662658692	53.67316886901855	53.54966514587402	61.724566406249984	61.49867700195312
bubble_sort		1612.518539428711	1509.8355102539062	1485.5375289916992	1315.0936889648438	1282.587890625	1277.5789260864258	1267.3397827148438	1265.5682373046875	1452.233154296875	1450.3330078125
dijkstra		138.5425481414795	128.5076309967041	126.52276313781738	111.11583595275879	108.3728588104248	107.00094200134278	106.31097450256348	105.97213165283203	122.15748242187497	121.58467431640624
kalman		402.44466842651366	380.25856887817383	374.2187287902832	333.4583827972412	353.75163986206053	348.0660623931885	379.011399307251	376.7628426361084	435.97446435546874	433.7399919433595
mat_mul		94.46699317932129	88.25573364257812	86.94650436401368	77.20494644165039	75.66928550720215	74.87540245056152	77.60595222473144	77.36265930175782	89.0441220703125	88.707556640625
pointer_chase   1212.6059684753418	1131.235311126709	1114.0102577209473	984.635181427002	1003.5594879150391	991.2437149047852	1028.9908111572265	1028.1228858947754	1184.6017846679688	1186.090244954427
recursion	733.4346061706543	679.6324653625488	669.6556777954102	582.1027694702149	567.096508026123	560.6489181518555	556.4948204040527	554.6401618957519	639.46486328125	636.7340063476563
rsa_dec	    80.84238121032715	74.85069671630859	73.68756385803222	64.0052140045166	62.42641250610352	61.65450714111328	61.26758102416992	61.095890808105466	70.31952954101561	70.10717724609376
rsa_enc		89.9907415008545	83.42955505371094	82.16161582946778	71.46218925476074	69.74819709777832	68.96649215698243	68.47785690307617	68.28509216308593	78.45345922851563	78.22510009765625
sine		867.2711288452149	809.3247734069824	796.7891269683838	704.5421104431152	701.7449352264405	693.8282341003418	701.6612720489502	700.4339012145996	806.9771264648436	804.2859545898436
