group	16_no_PLL	16	26	30	60	90	120	150	170
FFT	0.122	0.106	0.114	0.116	0.132	0.138	0.14	0.148	0.149
bubble_sort	0.13	0.111	0.117	0.117	0.13	0.125	0.133	0.136	0.136
dijkstra	0.151	0.126	0.133	0.134	0.147	0.149	0.148	0.15	0.149
kalman	0.002	-0.012	-0.015	-0.012	-0.004	0.07	0.071	0.118	0.119
mat_mul	0.046	0.03	0.035	0.037	0.044	0.074	0.08	0.124	0.126
recursion	0.091	0.074	0.079	0.08	0.091	0.095	0.092	0.095	0.096
rsa_dec	0.1	0.084	0.088	0.091	0.103	0.104	0.107	0.113	0.113
rsa_enc	0.1	0.077	0.086	0.088	0.098	0.096	0.096	0.1	0.1
sine	0.114	0.091	0.099	0.1	0.111	0.11	0.111	0.109	0.11
